filename,problem,model,prompt_type,run_number,overall_passed,constraints_passed,constraints_total,error_count,structural_errors,logical_errors,attribute_errors,structural_constraints_passed,logical_constraints_passed,attribute_constraints_passed
directedSocialNetwork_DeepSeekR1_directprompt_run3_output.json,DirectedSocialNetwork,DeepSeekR1,directprompt,3,False,6,9,7,1,5,1,2,1,3
directedSocialNetwork_DeepSeekR1_directprompt_run4_output.json,DirectedSocialNetwork,DeepSeekR1,directprompt,4,False,6,9,3,1,1,1,2,1,3
directedSocialNetwork_DeepSeekR1_directprompt_run5_output.json,DirectedSocialNetwork,DeepSeekR1,directprompt,5,False,6,9,6,1,4,1,2,1,3
directedSocialNetwork_DeepSeekR1_iterativefeedback_run1_output.json,DirectedSocialNetwork,DeepSeekR1,iterativefeedback,1,True,9,9,0,0,0,0,3,2,4
directedSocialNetwork_DeepSeekR1_iterativefeedback_run2_output.json,DirectedSocialNetwork,DeepSeekR1,iterativefeedback,2,False,8,9,1,0,0,1,3,2,3
directedSocialNetwork_DeepSeekR1_iterativefeedback_run3_output.json,DirectedSocialNetwork,DeepSeekR1,iterativefeedback,3,False,5,9,7,1,5,1,2,0,3
directedSocialNetwork_DeepSeekR1_iterativefeedback_run4_output.json,DirectedSocialNetwork,DeepSeekR1,iterativefeedback,4,False,8,9,1,0,0,1,3,2,3
directedSocialNetwork_DeepSeekR1_iterativefeedback_run5_output.json,DirectedSocialNetwork,DeepSeekR1,iterativefeedback,5,True,9,9,0,0,0,0,3,2,4
directedSocialNetwork_DeepSeekR1_programaugmented_run1_output.json,DirectedSocialNetwork,DeepSeekR1,programaugmented,1,False,6,9,7,1,5,1,2,1,3
directedSocialNetwork_DeepSeekR1_programaugmented_run2_output.json,DirectedSocialNetwork,DeepSeekR1,programaugmented,2,False,6,9,4,1,2,1,2,1,3
directedSocialNetwork_DeepSeekR1_programaugmented_run3_output.json,DirectedSocialNetwork,DeepSeekR1,programaugmented,3,False,6,9,8,1,6,1,2,1,3
directedSocialNetwork_DeepSeekR1_programaugmented_run4_output.json,DirectedSocialNetwork,DeepSeekR1,programaugmented,4,False,6,9,4,1,2,1,2,1,3
directedSocialNetwork_DeepSeekR1_programaugmented_run5_output.json,DirectedSocialNetwork,DeepSeekR1,programaugmented,5,False,5,9,12,1,10,1,2,0,3
directedSocialNetwork_DeepSeekV3_directprompt_run1_output.json,DirectedSocialNetwork,DeepSeekV3,directprompt,1,False,8,9,1,0,0,1,3,2,3
directedSocialNetwork_DeepSeekV3_directprompt_run2_output.json,DirectedSocialNetwork,DeepSeekV3,directprompt,2,False,6,9,3,1,1,1,2,1,3
directedSocialNetwork_DeepSeekV3_directprompt_run3_output.json,DirectedSocialNetwork,DeepSeekV3,directprompt,3,False,6,9,3,1,1,1,2,1,3
directedSocialNetwork_DeepSeekV3_directprompt_run4_output.json,DirectedSocialNetwork,DeepSeekV3,directprompt,4,False,8,9,1,0,0,1,3,2,3
directedSocialNetwork_DeepSeekV3_directprompt_run5_output.json,DirectedSocialNetwork,DeepSeekV3,directprompt,5,False,8,9,1,0,0,1,3,2,3
directedSocialNetwork_DeepSeekV3_iterativefeedback_run1_output.json,DirectedSocialNetwork,DeepSeekV3,iterativefeedback,1,False,8,9,1,0,0,1,3,2,3
directedSocialNetwork_DeepSeekV3_iterativefeedback_run2_output.json,DirectedSocialNetwork,DeepSeekV3,iterativefeedback,2,False,7,9,2,1,0,1,2,2,3
directedSocialNetwork_DeepSeekV3_iterativefeedback_run3_output.json,DirectedSocialNetwork,DeepSeekV3,iterativefeedback,3,False,7,9,2,1,0,1,2,2,3
directedSocialNetwork_DeepSeekV3_iterativefeedback_run4_output.json,DirectedSocialNetwork,DeepSeekV3,iterativefeedback,4,False,8,9,1,0,0,1,3,2,3
directedSocialNetwork_DeepSeekV3_iterativefeedback_run5_output.json,DirectedSocialNetwork,DeepSeekV3,iterativefeedback,5,False,8,9,1,0,0,1,3,2,3
directedSocialNetwork_DeepSeekV3_programaugmented_run1_output.json,DirectedSocialNetwork,DeepSeekV3,programaugmented,1,False,6,9,3,1,1,1,2,1,3
directedSocialNetwork_DeepSeekV3_programaugmented_run2_output.json,DirectedSocialNetwork,DeepSeekV3,programaugmented,2,False,6,9,3,1,1,1,2,1,3
directedSocialNetwork_DeepSeekV3_programaugmented_run3_output.json,DirectedSocialNetwork,DeepSeekV3,programaugmented,3,False,7,9,3,0,2,1,3,1,3
directedSocialNetwork_DeepSeekV3_programaugmented_run4_output.json,DirectedSocialNetwork,DeepSeekV3,programaugmented,4,False,5,9,11,1,9,1,2,0,3
directedSocialNetwork_DeepSeekV3_programaugmented_run5_output.json,DirectedSocialNetwork,DeepSeekV3,programaugmented,5,False,6,9,9,0,8,1,3,0,3
directedSocialNetwork_GPT4o_directprompt_run1_output.json,DirectedSocialNetwork,GPT4o,directprompt,1,False,6,9,7,1,5,1,2,1,3
directedSocialNetwork_GPT4o_directprompt_run2_output.json,DirectedSocialNetwork,GPT4o,directprompt,2,False,7,9,4,0,3,1,3,1,3
directedSocialNetwork_GPT4o_directprompt_run3_output.json,DirectedSocialNetwork,GPT4o,directprompt,3,False,6,9,8,0,7,1,3,0,3
directedSocialNetwork_GPT4o_directprompt_run4_output.json,DirectedSocialNetwork,GPT4o,directprompt,4,False,6,9,9,1,7,1,2,1,3
directedSocialNetwork_GPT4o_directprompt_run5_output.json,DirectedSocialNetwork,GPT4o,directprompt,5,False,5,9,5,1,3,1,2,0,3
directedSocialNetwork_GPT4o_iterativefeedback_run1_output.json,DirectedSocialNetwork,GPT4o,iterativefeedback,1,False,7,9,2,1,0,1,2,2,3
directedSocialNetwork_GPT4o_iterativefeedback_run2_output.json,DirectedSocialNetwork,GPT4o,iterativefeedback,2,False,7,9,2,0,1,1,3,1,3
directedSocialNetwork_GPT4o_iterativefeedback_run3_output.json,DirectedSocialNetwork,GPT4o,iterativefeedback,3,False,7,9,2,0,1,1,3,1,3
directedSocialNetwork_GPT4o_iterativefeedback_run4_output.json,DirectedSocialNetwork,GPT4o,iterativefeedback,4,False,8,9,1,0,0,1,3,2,3
directedSocialNetwork_GPT4o_iterativefeedback_run5_output.json,DirectedSocialNetwork,GPT4o,iterativefeedback,5,False,8,9,1,0,0,1,3,2,3
directedSocialNetwork_GPT4o_programaugmented_run1_output.json,DirectedSocialNetwork,GPT4o,programaugmented,1,False,6,9,6,0,5,1,3,0,3
directedSocialNetwork_GPT4o_programaugmented_run2_output.json,DirectedSocialNetwork,GPT4o,programaugmented,2,False,7,9,4,0,3,1,3,1,3
directedSocialNetwork_GPT4o_programaugmented_run3_output.json,DirectedSocialNetwork,GPT4o,programaugmented,3,False,6,9,8,1,6,1,2,1,3
directedSocialNetwork_GPT4o_programaugmented_run4_output.json,DirectedSocialNetwork,GPT4o,programaugmented,4,False,6,9,4,1,2,1,2,1,3
directedSocialNetwork_GPT4o_programaugmented_run5_output.json,DirectedSocialNetwork,GPT4o,programaugmented,5,False,7,9,2,0,1,1,3,1,3
directedSocialNetwork_GPT4omini_directprompt_run1_output.json,DirectedSocialNetwork,GPT4omini,directprompt,1,False,7,9,5,0,4,1,3,1,3
directedSocialNetwork_GPT4omini_directprompt_run2_output.json,DirectedSocialNetwork,GPT4omini,directprompt,2,False,7,9,2,1,0,1,2,2,3
directedSocialNetwork_GPT4omini_directprompt_run3_output.json,DirectedSocialNetwork,GPT4omini,directprompt,3,False,7,9,5,0,4,1,3,1,3
directedSocialNetwork_GPT4omini_directprompt_run4_output.json,DirectedSocialNetwork,GPT4omini,directprompt,4,False,5,9,16,1,14,1,2,0,3
directedSocialNetwork_GPT4omini_directprompt_run5_output.json,DirectedSocialNetwork,GPT4omini,directprompt,5,False,6,9,11,0,10,1,3,0,3
directedSocialNetwork_GPT4omini_iterativefeedback_run1_output.json,DirectedSocialNetwork,GPT4omini,iterativefeedback,1,False,7,9,2,1,0,1,2,2,3
directedSocialNetwork_GPT4omini_iterativefeedback_run2_output.json,DirectedSocialNetwork,GPT4omini,iterativefeedback,2,False,6,9,3,1,1,1,2,1,3
directedSocialNetwork_GPT4omini_iterativefeedback_run3_output.json,DirectedSocialNetwork,GPT4omini,iterativefeedback,3,False,7,9,5,0,4,1,3,1,3
directedSocialNetwork_GPT4omini_iterativefeedback_run4_output.json,DirectedSocialNetwork,GPT4omini,iterativefeedback,4,False,5,9,13,1,11,1,2,0,3
directedSocialNetwork_GPT4omini_iterativefeedback_run5_output.json,DirectedSocialNetwork,GPT4omini,iterativefeedback,5,False,6,9,6,0,5,1,3,0,3
directedSocialNetwork_GPT4omini_programaugmented_run1_output.json,DirectedSocialNetwork,GPT4omini,programaugmented,1,False,7,9,4,0,3,1,3,1,3
directedSocialNetwork_GPT4omini_programaugmented_run2_output.json,DirectedSocialNetwork,GPT4omini,programaugmented,2,False,8,9,1,0,0,1,3,2,3
directedSocialNetwork_GPT4omini_programaugmented_run3_output.json,DirectedSocialNetwork,GPT4omini,programaugmented,3,False,8,9,1,0,0,1,3,2,3
directedSocialNetwork_GPT4omini_programaugmented_run4_output.json,DirectedSocialNetwork,GPT4omini,programaugmented,4,False,7,9,2,1,0,1,2,2,3
directedSocialNetwork_GPT4omini_programaugmented_run5_output.json,DirectedSocialNetwork,GPT4omini,programaugmented,5,False,8,9,1,0,0,1,3,2,3
directedSocialNetwork_Gemini20Flash_directprompt_run1_output.json,DirectedSocialNetwork,Gemini20Flash,directprompt,1,False,7,9,2,0,1,1,3,1,3
directedSocialNetwork_Gemini20Flash_directprompt_run2_output.json,DirectedSocialNetwork,Gemini20Flash,directprompt,2,False,7,9,2,0,1,1,3,1,3
directedSocialNetwork_Gemini20Flash_directprompt_run3_output.json,DirectedSocialNetwork,Gemini20Flash,directprompt,3,False,8,9,1,0,0,1,3,2,3
directedSocialNetwork_Gemini20Flash_directprompt_run4_output.json,DirectedSocialNetwork,Gemini20Flash,directprompt,4,False,8,9,4,0,4,0,3,1,4
directedSocialNetwork_Gemini20Flash_directprompt_run5_output.json,DirectedSocialNetwork,Gemini20Flash,directprompt,5,False,7,9,2,0,1,1,3,1,3
directedSocialNetwork_Gemini20Flash_iterativefeedback_run1_output.json,DirectedSocialNetwork,Gemini20Flash,iterativefeedback,1,False,8,9,1,0,0,1,3,2,3
directedSocialNetwork_Gemini20Flash_iterativefeedback_run2_output.json,DirectedSocialNetwork,Gemini20Flash,iterativefeedback,2,False,8,9,1,0,0,1,3,2,3
directedSocialNetwork_Gemini20Flash_iterativefeedback_run3_output.json,DirectedSocialNetwork,Gemini20Flash,iterativefeedback,3,True,9,9,0,0,0,0,3,2,4
directedSocialNetwork_Gemini20Flash_iterativefeedback_run4_output.json,DirectedSocialNetwork,Gemini20Flash,iterativefeedback,4,True,9,9,0,0,0,0,3,2,4
directedSocialNetwork_Gemini20Flash_iterativefeedback_run5_output.json,DirectedSocialNetwork,Gemini20Flash,iterativefeedback,5,False,8,9,1,0,0,1,3,2,3
directedSocialNetwork_Gemini20Flash_programaugmented_run1_output.json,DirectedSocialNetwork,Gemini20Flash,programaugmented,1,False,8,9,1,0,1,0,3,1,4
directedSocialNetwork_Gemini20Flash_programaugmented_run2_output.json,DirectedSocialNetwork,Gemini20Flash,programaugmented,2,False,8,9,2,0,2,0,3,1,4
directedSocialNetwork_Gemini20Flash_programaugmented_run3_output.json,DirectedSocialNetwork,Gemini20Flash,programaugmented,3,False,8,9,4,0,4,0,3,1,4
directedSocialNetwork_Gemini20Flash_programaugmented_run4_output.json,DirectedSocialNetwork,Gemini20Flash,programaugmented,4,True,9,9,0,0,0,0,3,2,4
directedSocialNetwork_Gemini20Flash_programaugmented_run5_output.json,DirectedSocialNetwork,Gemini20Flash,programaugmented,5,False,7,9,5,0,4,1,3,1,3
